rank,address,total
0,stake1u8clrqjpnujw7hkfst3me6gu90uxe4fntw2nrzqka3x7gzqellhld,265
1,stake1u8lxczl9szpla52hrvsa8xtxqjjjqqfpwmu6cxsj8cevwfct2snc0,156
2,stake1u99wnvlf7hlhxlcl5mgtq7tfflzwnkqzu223vfrqrq7ggyq7upjul,132
3,stake1uxdrqa82sppl7kkyjvt97u0k0r3qefv7mzhczky5gmkwl7gqsgxad,75
4,stake1uxkexu5g04xugs0p98xcen9hke6pczh6ye78ykpl2mpl85gk09cfl,73
5,stake1u9jz54znw0v9w2f06zrcp3mv55v505lxeuldskdty4spgtsx28yva,70
6,stake1u869zpqeutf8us0eg4vtgpyfm9wkmfc9ctdrqgnr8cg825qx4mkh9,55
7,stake1u9m5h2q799axg0j9v3t9nh3unljvsyh2wmlgc8arm7uct3sjt4gr6,50
8,stake1u84nkudaftp2ly5ktykgwdxy2pyyhsmkuu8xj8jt44aa3jgxxgczp,50
9,stake1u9n2rd87aw6kx0hvcv7al509qx8cnjv0cwn3dk07ha6lkas50v67n,44
10,stake1uxxhtkkx8kamucdexggy3cnvzraz83s54zhajff947pcp8qcu9rck,42
11,stake1u8z8yedvkh0k5nhsw4f8uwdl9emav8kawvrrvmykzwwjnygwpzj67,42
12,stake1u8h2e2fe4n2zkag3jk7wkvfqwkq68mwfjj8lr7ssypcrd9gqm5674,41
13,stake1u9rky99cps2v53k353jt5fcjkemx3vnkmqxp84q5px976gq3zwqml,40
14,stake1uxme0nu94vedraghrj53wllfj3l4qvzf0hewffz5hez409srvjzl4,38
15,stake1u8h7yf5vx5pdsy4p6e42tqv0etjxerv9u8uatasuvlrz4kc5fgpvs,37
16,stake1u9jd3n4sz8e3n8a45v2xtkfg5yduzp2cwa40z7tc7xk5j3s55cumu,34
17,stake1u8u900x6rv33km0evxh69px870j5ewcjgmxyjg5ke0g62hg3mkfhz,34
18,stake1u93cdx75m6ry2pceyycveqz87w8qf2dr9ph7kte2uu70d4cg9p8xt,32
19,stake1ux05s5lmux2ccsly87d9cr4css2alr98kpdwkta0e72cpyqycvuql,30
20,stake1u9n9x3enu4wlunwle2092cseuqpc8qavm44jpsdgavyvc6sf9y00g,30
21,stake1u9xlzapauzeq6kl5j8uagg56vzvmxm9548qy9e2m8qxegmsxwav6t,29
